138,SUPERMERCADO ,LA CANASTA ,CALLE 5A # 5-120,VILLA BACHUE
139,SUPERMERCADO ,LA VIRGEN,CALLE 24 # 12-21,SANTA INES
140,SUPERMERCADO ,SUPERMARKET,CARRERA13 # 29-58,20 DE JULIO
141,SUPERMERCADO ,LA QUINCE,CARRERA 19#30-13,
142,SUPERMERCADO ,ALMACENES PARAISO S.A.,KRA 11 No 9-40,
143,SUPERMERCADO ,DISTRIBUIDORA EL CHISPAZO,KRA 11 No 8-12,
144,SUPERMERCADO ,LA MOJARRITA,CALLE 63# 6-54,
145,SUPERMERCADO ,VIVERES,CALLE 63#10-43,
146,SUPERMERCADO ,VIVERES,DIAGONAL 61# 9-06,
147,SUPERMERCADO ,FRUTAS Y VERDURAS,DIAGONAL 61# 6-05,
148,SUPERMERCADO ,VIVERES,CALLE 60 # 7-14,
149,SUPERMERCADO ,VILLA AMPARO,CARRERA 8 # 59A-33,ASIS
150,SUPERMERCADO ,DIVERFRUTAS ASIS,CLL 63 No 6-58,ASIS
151,SUPERMERCADO ,AUTOSERVICIO LUZ M,KRA 8 No 63-14,ASIS
152,SUPERMERCADO ,TIENDA SUPERMERCADO JOSE LUIS,DG 63 No 7-06,
153,SUPERMERCADO ,SUPERTIENDA LA 63,DG 63 No 7-44,
154,SUPERMERCADO ,SIN NOMBRE,DG 63 No 8-46,
155,SUPERMERCADO ,SIN NOMBRE,CLL 63 No 12A-33,
156,SUPERMERCADO ,SIN NOMBRE,CLL 64 No 10-58,
157,SUPERMERCADO ,BELARCAZAR,CALLE 31 No. 10-120,BELARCAZAR
158,SUPERMERCADO ,LA TIERRA PROMETIDA,CARRERA 18#31-23,
159,SUPERMERCADO ,SUPERMERCADO,CARRERA 18#27-97,
160,SUPERMERCADO ,COMPUS PLAZA,CARRERA 18#28-87,
161,SUPERMERCADO ,FRUTAS Y VERDURAS EL BOSQUE,CALLE 13 No. 10-21,BOSQUE
162,SUPERMERCADO ,SUPERECONOMICO,CARRERA 14#16-83,
163,SUPERMERCADO ,LA QUINCE,CARRERA 15 #21-79,
164,SUPERMERCADO ,FAMILIAR,CALLE 17 # 10-42,CENTRO
166,SUPERMERCADO ,CONFITERIA EL TOPO,CLL 19 No 14-24,
167,SUPERMERCADO ,TIA S.A.,CLL 19 No 11-63,
168,SUPERMERCADO ,SURTIFRUVER,KRA 15 No 19-30,
169,SUPERMERCADO ,SIN NOMBRE,KRA 15 No 21-03 ,
170,SUPERMERCADO ,AUTOSERVICIO EL NOGAL ,KRA 15 No 21-25,
171,SUPERMERCADO ,LA ESTANCIA,CLL 50 No 16B-04,
172,SUPERMERCADO ,PLACITA LA ECONOMIA,CALLE 11 No. 12-44,
173,SUPERMERCADO ,MERQUEFACIL,CARRERA 11 No. 11-88,
174,SUPERMERCADO ,ANGEL,TRANSV 2A# 27-03,
175,SUPERMERCADO ,MAS POR MENOS,CARRERA 1 # 28-17,
176,SUPERMERCADO ,"LACTEOS, FRUTAS Y VERDURAS",CLL 66 No 6-49,
177,SUPERMERCADO ,SIN NOMBRE,MZ 2 CASA 16 ,
178,SUPERMERCADO ,ANDREA,CALLE 50B# 9F-41,
179,SUPERMERCADO ,SUPERMERCADO,CALLE 26#16-92,
180,SUPERMERCADO ,LA 17,TRANSV 17# 32A-48,
181,SUPERMERCADO ,LA HUERTA,TRANSV 17# 32-39,
182,SUPERMERCADO ,LA GRANJA,CALLE 33B# 17A.03,
183,SUPERMERCADO ,DONDE VIKY,CALLE 36 # 16B-45,
184,SUPERMERCADO ,SUPER,CALLE 35B# 16C-65,
185,SUPERMERCADO ,EL TOCANITO,CALLE 36 # 16B-44,
186,SUPERMERCADO ,FRUTAS Y VERDURAS,CALLE 35 # 16C-29,
187,SUPERMERCADO ,PLAZA TORO,DIAGONAL 23# 3-102,
188,SUPERMERCADO ,FRUTICAMPO Y CARNES EL GAITAN,CALLE 32 # 15-26,
189,SUPERMERCADO ,ORAGE MARKET,AV NORTE # 34-10,
190,SUPERMERCADO ,PLACITA CAMPESINA,AV NORTE No 50-59,
191,SUPERMERCADO ,PLACITA CAMPESINA DEL SUR,Av. ORIENTAL No. 12A-14,
192,SUPERMERCADO ,FRUTAS Y VERDURAS SAN MATEO,KRA 11 No 55A-20,
193,SUPERMERCADO ,MERKA EXPRESS,CARRERA 16 # 36-02,
194,SUPERMERCADO ,VICTOR BARON,CLL 36 A No 16D-44,
195,SUPERMERCADO ,MINIMERCADO LA ESMERALDA,KRA 1 No 39-20,
196,SUPERMERCADO ,SAN MARTIN MERCAFRUVERS,AV UNIVERSITARIA # 1-40-26,
197,SUPERMERCADO ,MINIMERCADO,CALLE 39# 1-30,
198,SUPERMERCADO ,LA ESPERANZA,CARRERA 16 # 31-33,
199,SUPERMERCADO ,SIN NOMBRE,CLL 35 No 18-02,
200,SUPERMERCADO ,AUTOSERVICIO,CLL 35 No 17A-10,
202,SUPERMERCADO ,PLACITA CAMPESINA,AV NORTE No 50-59,
203,SUPERMERCADO ,LA 54,CALLE 54 No. 9A-24,
204,SUPERMERCADO ,LA 54,CALLE 54# 7A-15,
205,SUPERMERCADO ,SUPERMERCADO MERCAMAX,CLL 54 No 8B-08,
206,SUPERMERCADO ,AUTOSERVICIO LA GRANJA,CLL 54 No 6-74,
207,SUPERMERCADO ,SIN NOMBRE,KRA 9 No 24-18,
208,SUPERMERCADO ,SIN NOMBRE,KRA 8 No 24-05,
209,SUPERMERCADO ,GABY,CALLE 49 # 1-31,
210,SUPERMERCADO ,CHISPAZO NORTE ,CLL 45 No 6-25,
211,SUPERMERCADO ,EL CHISPAZO,TRANSVERSAL 11 # 29-17,
212,SUPERMERCADO ,FRUTIMAX,AV NORTE No 36-06,
213,SUPERMERCADO ,DEL CAMPO PLAZA,AV NORTE # 35-48,
214,SUPERMERCADO ,SUPERMINI,DIAGONAL 67,
215,SUPERMERCADO ,EL PIGAR,TRANSVERSAL 2 # 66-A20,
216,SUPERMERCADO ,MINIMERCADO,DIAGONAL 66A# 2A-11,
217,SUPERMERCADO ,DIVERFRUTAS,DIAGONAL 65C# 0-12,
218,SUPERMERCADO ,EL PINAL,DIAGONAL 65# A ESTE 03,
219,SUPERMERCADO ,LOS MUISCAS,DIAGONAL 65C# A ESTE 18,
220,SUPERMERCADO ,MINIAUTOSERVICIO,DIAGONAL C# 0A ESTE 48,
221,SUPERMERCADO ,VIVERES,DIAGONAL 66A # 1-04,
222,SUPERMERCADO ,RAYOLY,DIAGONAL 67 A # 3-11,
223,SUPERMERCADO ,POLLO LAC,TRANSVERSAL 2 # 65-15,
224,SUPERMERCADO ,TIENDA,DIAGONAL 2 # 65-04,
225,SUPERMERCADO ,DONDE CAMILO,DIAGONAL 64C # 2-39,
226,SUPERMERCADO ,FRUTAS Y VERDURAS ISABELA,DG 65C 0A ESTE 25,
227,SUPERMERCADO ,SAN ISIDRO,DG 67 No 3-20,
228,SUPERMERCADO ,SIN NOMBRE,DG 64 No 2-18,
229,SUPERMERCADO ,MERCACENTRO,DG 65 No 0-21,
230,SUPERMERCADO ,SUPER,CARRERA 7 # 26-08,
231,SUPERMERCADO ,SUPERMERCADO,CALLE 26 # 7-02,
232,SUPERMERCADO ,MINI,CALLE 24 # 6A-46,
233,SUPERMERCADO ,EL CONVENIO,CRA 15 No. 20-96,
234,SUPERMERCADO ,MERCKA EXPRES,CALLE 32 No. 6-18,
235,SUPERMERCADO ,LOS ROSALES,CARRERA 8 # 42A-24,
236,SUPERMERCADO ,COMPLEJO SERVICIOS DEL SUR,KRA 14 No 7A-50,
237,SUPERMERCADO ,EL CHISPAZO,CARRERA 7 # 23-50,
238,SUPERMERCADO ,VIVE 26,CALLE 26#10-66,
239,SUPERMERCADO ,FRUTILANDIA,CALLE 26#10-91,
240,SUPERMERCADO ,SANTA ANA,TRANSVERSAL 3A#59-08,
241,SUPERMERCADO ,SURTIDOR,CALLE 22#15-27,
242,SUPERMERCADO ,CALFRUVER,C.C. SANTA INES L 107,
